locationA,locationB,accessType,through_location
boulogne_sur_mer,strait_of_dover,port,
boumalne_dades,skoura,land,
boumalne_dades,todgha,land,
bouna,kong,land,
bouna,loropeni,land,
bouna,wa,land,
boundiali,korhogo,land,
boundiali,morondo,river,
boundiali,odienne,river,
boundiali,tengrela,river,
bourbon,huriel,land,
bourbon,molins,river,
bourbon,montlucon,land,
bourbon,nevers,river,
bourbon,sancoins,land,
bourbon,vichy,land,
bourem,tondibi,river,
bourg_en_bresse,louhans,land,
bourg_en_bresse,orgelet,land,
bourg_en_bresse,thoire,land,
bourg_en_bresse,trevoux,land,
bourg_en_bresse,villars,land,
bourganeuf,gueret,river,
bourganeuf,limoges,land,
bourganeuf,st_leonard,river,
bourganeuf,tulle,land,
bourges,huriel,land,
bourges,issoudun,land,
bourges,lignieres,land,
bourges,sancerre,land,
bourges,sancoins,land,
bourges,vierzon,land,
boussac,brosse,land,
boussac,chateauroux,land,
boussac,gueret,land,
boussac,huriel,land,
boussac,lignieres,land,
bousso,goundi,river,
bousso,guelengdeng,river,
bousso,massenya,land,
bousso,tele_nugar,land,
boussouma,kougouri,land,
boussouma,mane,river,
boussouma,ouagadougou,river,
boussouma,tenkodogo,land,
boussouma,zorgho,river,
boutti,goudooumaria,land,
boutti,goure,land,
boutti,kelle,land,
boutti,mir_loc,land,
bovino,foggia,land,
bovino,lucera,land,
bovino,melfi,land,
bovino,santangelo,land,
boxing,gaoyuan_jinan,river,
boxing,lean,river,
boxing,lijin,land,
boxing,xincheng_jinan,land,
boxing,zichuan,land,
boya,cayacoa,land,
boya,cotui,land,
boya,hicayagua,land,
boya,samana,land,
boyabat,gerze,river,
boyabat,gumus,river,
boyabat,sinop,land,
boyabat,taskopru,land,
boyabat,tosya,river,
boyauli,dungene,land,
boyauli,karamergen,river,
boyauli,kurty,river,
boyauli,shengeldy,river,
boye,gaoyang_baoding,land,
boye,puyin,land,
boye,qingyuan_baoding,land,
boye,suning,land,
boyena_qara,mazar_i_sharif,land,
boyena_qara,sangcharak,land,
boyena_qara,yakawlang,land,
boynak,caspian_sea11,coastal,
boynak,caspian_sea12,port,
boynak,derbent,land,
boynak,kubachi,land,
boynak,kumukh,land,
boynak,tarki,land,
boynak,temirkhan_shura,land,
bozan,kaymaz,land,
bozan,mihaliccik,river,
bozan,nalli,land,
bozan,sivrihisar,river,
bozan,sogut,river,
bozan,sultanonu,river,
bozhenitsa,dobrolak,land,
bozhenitsa,pleven,land,
bozhenitsa,sredets,land,
bozhenitsa,svoge,land,
bozhou,rongshan,land,
bozhou,shaxi,land,
bozhou,suiyang,land,
bozhou,wujiang_bozhou,land,
bozok,dinek_keskin,river,
bozok,hacibektas,river,
bozok,huseyinabad,land,
bozok,sorgun,land,
bozok,sungurlu,land,
bozok_astana,karabay,land,
bozok_astana,shybyndy,river,
bozok_astana,tagatay,land,
brac,gulf_kastela,port,
brac,korcula_strait,coastal,
brac,makarska,through-sea,korcula_strait
bracciano,civitavecchia,land,
bracciano,coast_lazio,port,
bracciano,lake_bracciano,lake,
bracciano,orte,river,
bracciano,rome,river,
bracciano,sabina,land,
bradelle_valley,gaspe_bay,sea,
bradelle_valley,grosse_island,sea,
bradelle_valley,malpeque_bay,sea,
bradelle_valley,miramichi_bay,sea,
braga,ginzo_de_limia,land,
braga,guimaraes,land,
braga,montalegre,land,
braga,valenca,land,
braga,viana_do_castelo,land,
braganca,macedo,land,
braganca,miranda_de_i_douro,land,
braganca,puebla_de_sanabria,land,
bragernes,flesberg,land,
bragernes,oslo,land,
bragernes,oslo_fjord,port,
bragernes,ringerike,river,
bragernes,sande,river,
bragernes,sigdal,land,
brahestad,gulf_of_bothnia,port,
brahestad,karleby,land,
brahestad,kaustby,land,
brahestad,siikalatva,land,
brahestad,uleaborg,land,
brahin,chernihiv,river,
brahin,chornobyl,river,
brahin,khoiniki,land,
brahin,kholmyech,land,
brahin,liubech,river,
brahin,lutava,land,
brahmapur,ganjam,land,
brahmapur,indian_coast56,port,
brahmapur,indian_coast57,coastal,
brahmapur,kalingapattanam,land,
brahmapur,parlakimidi,land,
braiakalung,brataulung,land,
braiakalung,krauatungalung,land,
braiakalung,kurnai,land,
braiakalung,lake_tyers_shore,coastal,
braiakalung,reeve_shore,port,
braiakalung,wellington_lake,lake,
braiakalung,yarra,land,
braila,buzau,land,
braila,galati,river,
braila,harsova,land,
braila,isaccea,river,
braila,meteleu,land,
braila,ramnicu_sarat,river,
braila,viziru,river,
braine,chateau_thierry,land,
braine,epernay,land,
braine,roucy,river,
braine,soissons,river,
brak,connector_libya4,land,
brak,sabha,land,
bramas,buali,land,
bramas,makabana,land,
bramas,mayumba,land,
bramas,piri,land,
bramas,yumba,land,
bramhapuri,gadchiroli,river,
bramhapuri,kelapur,river,
bramhapuri,panar,river,
bramhapuri,wairagarh,river,
brandenburg,havelberg,land,
brandenburg,jerichow,land,
brandenburg,potsdam,land,
brandenburg,pritzwalk,land,
brandenburg,ruppin,land,
brandenburg,treuenbrietzen,land,
brandenburg_prussia,gerdauen,river,
brandenburg_prussia,konigsberg,river,
brandenburg_prussia,vistula_lagoon,port,
branicevo,carasova,river,
branicevo,kovin,river,
branicevo,kucevo,river,
branicevo,ravno,land,
branicevo,rudnik,river,
branicevo,smederevo,land,
branko,el_eleila,river,
branko,quz_rajab,land,
branko,shendi,land,
branko,soba,land,
branna,gellivaara,land,
branna,hienatiemi,river,
branna,korpilombo,river,
branna,pajala,river,
branna,ranea,river,
bras_dor_lake,kluskapewiktuk,lake,
bras_dor_lake,qospemk,lake,
bras_dor_lake,sipuk,lake,
brashk,cape_cherchell,port,
brashk,cherchell,land,
brashk,chlef,land,
brashk,miliana,land,
brashk,tenes,land,
braslaw,daugavpils,river,
braslaw,drysvyaty,land,
braslaw,hlybokaye,land,
braslaw,kraslava,river,
braslaw,miory,river,
braslaw,myadzyel,land,
brasov,campulung_muscel,land,
brasov,cincu,land,
brasov,fagaras,land,
brasov,sfantu_gheorghe,river,
brasov,slanic,land,
brass,cabo_formoso,river,
brass,east_niger_mouth,port,
brass,nembe,land,
brass,warri,river,
brass,west_niger_mouth,coastal,
brataulung,kent_group_shore,port,
brataulung,port_philip,coastal,
brataulung,reeve_shore,coastal,
brataulung,yarra,land,
bratislava,bruck_leitha,river,
bratislava,ganserndorf,land,
bratislava,holic,river,
bratislava,magyarovar,river,
bratislava,mistelbach,river,
bratislava,samorin,river,
bratislava,trnava,land,
bratsk,chuva,land,
bratsk,educhanka,river,
bratsk,nizhneudinsk,land,
bratsk,siberia_kuytun,land,
bratslav,drahushiv,land,
bratslav,rov,land,
bratslav,sokilets,land,
bratslav,teplyk,land,
bratslav,vinnytsia,river,
brattahlid,dyrnes,land,
brattahlid,gardr,land,
brattahlid,qaqortoq_coast,port,
brattahlid,vatnahverfi,land,
braunau,burghausen,river,
braunau,griesbach,river,
braunau,laufen,land,
braunau,ried,river,
braunau,salzburg,land,
brava_point,charrua,coastal,
brava_point,este_point,sea,
brava_point,samborombon_bay,sea,
brava_point,tuvicha_mini,port,
brava_point,western_atlantic_high_sea52,sea,
braviken,gotlands_hav,sea,
braviken,kalmar_sund,sea,
braviken,kolmarden,port,
braviken,norrkoping,port,
braviken,nykoping,port,
braviken,soderkoping,port,
braviken,stockholms_skargard,sea,
braviken,tjust,coastal,
braviken,western_gotland_basin,sea,
brazos_mouth,capoque,port,
brazos_mouth,gulf_mexico1,sea,
brazos_mouth,han,port,
brazos_mouth,karankawa,coastal,
brazos_mouth,matagorda_bay,sea,
brazos_mouth,trinity_lagoon,sea,
breaksea_shore,bremer_bay,sea,
breaksea_shore,frenchman_bay,sea,
breaksea_shore,goreng,port,
breaksea_shore,minang,coastal,
brecknock,builth,land,
brecknock,caerphilly,land,
brecknock,ewyas,land,
brecknock,kidwelly,land,
brecknock,monmouth,land,
brecknock,radnor,land,
breda,geertruidenberg,land,
breda,hertogenbosch,land,
breda,turnhout,land,
bredasdorp,chainouqua,land,
bredasdorp,hessequa,land,
bredasdorp,st_sebastian_bay,port,
bredasdorp,swellendam,land,
bree,eindhoven,land,
bree,hasselt,land,
bree,maastricht,river,
bree,roermond,land,
bree,weert,river,
bregenz,feldkirch,river,
bregenz,immenstadt,land,
bregenz,lake_constance,lake,
bregenz,reutte,land,
bregenz,sonthofen,land,
bregenz,st_gallen,river,
bregne,kalmar,land,
bregne,konga,land,
bregne,ronneby,land,
bregne,uppvidinge,land,
bremen,delmenhorst,land,
bremen,hoya,land,
bremen,jade_bay,port,
bremen,osterholz,land,
bremer_bay,esperance_bay_australia,sea,
bremer_bay,goreng,coastal,
bremer_bay,noongar,port,
bremervorde,gestenthorpe,land,
bremervorde,neuhaus,land,
bremervorde,osterholz,land,
bremervorde,ritzebuttel,land,
bremervorde,stade,land,
bremervorde,zeven,land,
breno,cles,land,
breno,clusone,land,
breno,lake_iseo,lake,
breno,nozza,land,
breno,palazzolo,land,
breno,tresivio,land,
brescia,nozza,land,
brescia,palazzolo,land,
brescia,salo_ita,land,
brest,breton_sea,coastal,
brest,chateaulin,through-sea,ushant
brest,le_faou,land,
brest,st_pol_de_leon,land,
brest,ushant,port,
brest_litowsk,chernyany,land,
brest_litowsk,drohiczyn,land,
brest_litowsk,hajnowka,land,
brest_litowsk,kamyenyets,land,
brest_litowsk,malaryta,river,
brest_litowsk,mielnik,river,
brest_litowsk,wlodawa,river,
breteuil,nesle,land,
breton_sea,lizard_point,sea,
breton_sea,saint_malo_gulf,sea,
breton_sea,st_pol_de_leon,port,
breton_sea,treguier,port,
breton_sea,ushant,sea,
brezina,el_abiodh_sidi_cheikh,land,
brezina,el_bayadh,land,
brezina,naama,land,
bria,djemah,river,
bria,kafia_kinji,river,
bria,kotto,river,
bria,mobaye,river,
bria,ndele,land,
bria,ouaka,land,
bria,said_bundas,land,
briancon,gap,land,
briancon,grenoble,land,
briancon,la_mure,land,
briancon,pragelato,land,
briancon,sisteron,river,
bridger,dagett,land,
bridger,point_of_rocks,land,
bridger,randolph,land,
bridger,rock_springs,land,
bridger,sweetwater,land,
bridger,yoov_we_teuh,land,
bridlington,flamborough_head,coastal,
bridlington,hull,land,
bridlington,humber_estuary,port,
bridlington,norton,land,
bridlington,scarborough,land,
bridlington,selby,land,
brie_comte_robert,corbeil,land,
brie_comte_robert,meaux,river,
brie_comte_robert,melun,river,
brie_comte_robert,montmorency,land,
brie_comte_robert,paris,river,
brienne,rosnay,land,
brienne,troyes,river,
brig,domodossola,land,
brig,interlaken,land,
brig,sion,river,
brignoles,frejus,land,
brignoles,marseille,land,
brignoles,toulon,land,
brihuega,cobeta,land,
brihuega,guadalajara,land,
brihuega,pareja,river,
brihuega,siguenza,land,
brihuega,zorita,land,
brilon,buren,land,
brilon,frankenberg,land,
brilon,korbach,land,
brilon,lippstadt,land,
brilon,meschede,land,
brilon,warburg,land,
brin_navolok,kholmogory,river,
brin_navolok,siya,river,
brin_navolok,vaymuga,land,
brin_navolok,yemetsk,land,
brindisi,francavilla,land,
brindisi,lecce,land,
brindisi,martinafr,land,
brindisi,monopoli,land,
brindisi,penne_cape,port,
brioude,chateauneuf_de_randon,river,
brioude,le_puy,river,
brioude,saint_flour,land,
brioude,vic_le_comte,river,
brioude,vodable,land,
bristol,chippenham,land,
bristol,gloucester,river,
bristol,monmouth,through-sea,severn
bristol,portishead,land,
bristol,severn,port,
briviesca,burgos,land,
briviesca,miranda_de_ebro,land,
briviesca,najera,land,
brixen,bruneck,land,
brixen,sterzing,land,
brixen,villandro,land,
brno,hodonin,land,
brno,jihlava,land,
brno,pernstejn,land,
brno,vyskov,land,
brno,znojmo,land,
broach,indian_coast15,port,
broach,nandod,land,
broach,rander,land,
brodnica,grudziadz,land,
brodnica,kwidzyn,land,
brodnica,lubawa,land,
brodnica,ostroda,land,
brodnica,rypin,land,
brodnica,torun,land,
brody,busk,river,
brody,kremenets,land,
brody,zbarazh,land,
brody,zvenyhorod,land,
brody_tver,gorodok,river,
brody_tver,mikulino_tver,land,
brody_tver,tver,river,
brokhovo,okhosk_coast18,port,
brokhovo,takhtoyamsk,land,
brokhovo,yamsk,land,
bronnitsa,burga,land,
bronnitsa,gruzino,land,
bronnitsa,kresttsy,river,
bronnitsa,lake_ilmen,lake,
bronnitsa,nalyuchi,land,
bronnitsa,novgorod,river,
bronnitsy,kolomna,land,
bronnitsy,koshira,land,
bronnitsy,moscow,land,
bronnitsy,odintsovo,river,
bronnitsy,przemysl_moscow,land,
bronnitsy,vokhna,land,
bronnitsy,vysokoye,river,
brosse,chateauroux,land,
brosse,gueret,land,
brosse,limoges,land,
brosse,montmorillon,land,
brotas,piracicaba,river,
brotas,sao_carlos,land,
brown_bank,canada_high_sea21,sea,
brown_bank,canada_high_sea22,sea,
brown_bank,chebogue,port,
brown_bank,grand_manan_basin,sea,
brown_bank,muinawamek,port,
brown_bank,schoodic_ridge,sea,
brown_bank,wekwayik,coastal,
broyes,chateau_thierry,land,
broyes,nogent_sur_seine,river,
broyes,provins,land,
broyes,rosnay,land,
broyes,troyes,river,
broyes,vertus,land,
brozas,caceres,land,
brozas,idanha,river,
brozas,valencia_de_alcantara,river,
brskovo,budimlja,land,
brskovo,podgorica,river,
bruchsal,durlach,land,
bruchsal,germersheim,land,
bruchsal,heidelberg,land,
bruchsal,heilbronn,land,
bruchsal,sinsheim,land,
bruchsal,speyer,river,
bruchsal,vaihingen,land,
bruck_leitha,ganserndorf,river,
bruck_leitha,korneuburg,land,
bruck_leitha,magyarovar,land,
bruck_leitha,sopron,land,
bruck_leitha,vienna,river,
bruckenau,fulda,land,
bruckenau,hunfeld,land,
bruckenau,karlstadt,land,
bruckenau,lohr,land,
bruges,ghent,land,
bruges,hulst,land,
bruges,kortriik,land,
bruges,middelburg,through-sea,scheldt_estuary
bruges,ostend,land,
bruges,scheldt_estuary,port,
bruneck,lienz,river,
bruneck,pieve,land,
bruneck,sterzing,land,
brunei_bay,cape_baram,sea,
brunei_bay,kimanis_bay,sea,
brunei_bay,padas,port,
brunei_bay,south_china_sea13,sea,
brunei_bay,tutong,port,
brunswick,gifhorn,land,
brunswick,helmstedt,land,
brunswick,hildesheim,land,
brunswick,meinersen,land,
brunswick,wolfenbuttel,land,
brus_lagoon,caratasca_lagoon,sea,
brus_lagoon,caribe_sea1,sea,
brus_lagoon,caribe_sea3,sea,
brus_lagoon,limon_coast,sea,
brus_lagoon,pech,port,
brus_lagoon,tawahka,coastal,
brussels,enghien,land,
brussels,leuven,land,
brussels,mechelen,land,
brussels,nivelles,land,
brussels,sint_niklaas,river,
brvenik,mitrovica,land,
brvenik,sjenica,land,
brvenik,trgoviste_SER,land,
brvenik,zica,land,
bryanka,kamensk,river,
bryanka,kardakan,river,
bryanka,kazhma,land,
bryanka,kiya,river,
bryanka,motygino,land,
bryanka,vangash,river,
bryanka,yeruda,river,
bryansk,foshnya,land,
bryansk,karachev,land,
bryansk,khvastovichi,land,
bryansk,knyazhichi,land,
bryansk,revny,river,
bryansk,vshchizh,river,
bryante,djee,land,
bryante,iyengra,land,
bryante,mogot,land,
bryante,mulmuga,land,
bryante,tukuringra,land,
bryukhovetskaya,bzhedygu_kal,land,
bryukhovetskaya,kalininskaya,land,
bryukhovetskaya,kanevskaya,land,
bryukhovetskaya,pavlovskaya,land,
bryukhovetskaya,tbilisskaya,land,
bryukhovetskaya,ust_labinsk,land,
brzeg,grodkow,land,
brzeg,namyslow,land,
brzeg,niemodlin,river,
brzeg,olawa,river,
brzeg,olesnica,land,
brzeg,opole,land,
brzeznica,czestochowa,land,
brzeznica,mstow,land,
brzeznica,piotrkow_trybunalski,land,
brzeznica,radomsko,river,
brzeznica,sieradz,land,
brzeznica,tuszyn,land,
brzeznica,wielun,river,
buale,buur_hakaba,land,
buale,haranka,river,
buale,jilib,river,
buali,loango,land,
buali,mayumba,land,
buali,mayumba_coast,port,
buali,piri,land,
buandig,coonawarra,land,
buandig,guichen_bay,coastal,
buandig,gunditjmara,land,
buandig,ngarrindjeri,land,
buandig,riddoch_bay,port,
buantan,dumai,land,
buantan,inner_strait_malacca,port,
buantan,sakai_riau,land,
buantan,siak,land,
buantan,tanah_putih,land,
buassa,lindi_kwila,land,
buassa,lubue,land,
buassa,mabale,river,
buassa,pende_kwila,land,
buaxaxxaashe,skaapirox,land,
buayan,buluan,river,
buayan,kabacan,river,
buayan,kalalaw,river,
buayan,kalamansig,land,
buayan,kuta_watu,river,
buayan,tboli,land,
bucaneer_bay,elizabeth_bay,sea,
bucaneer_bay,galapagos_high_sea4,sea,
bucaneer_bay,galapagos_high_sea5,sea,
bucaneer_bay,galapagos_high_sea6,sea,
bucaneer_bay,galapagos_high_sea9,sea,
bucaneer_bay,isabela_island,coastal,
bucaneer_bay,santa_cruz_islands,port,
bucaneer_bay,santiago_islands,coastal,
bucaneer_bay,tortuga_bay,sea,
buchach,rohatyn,river,
buchach,terebovlia,land,
buchach,ternopil,land,
buchach,tysmenytsia,river,
buchach,zalishchyky,land,
buchan,inverurie,land,
buchan,kinnaird_head,port,
buchan,moray_firth,coastal,
buchanan_lake,yilba,lake,
bucharest,comana,land,
bucharest,gaiseni,land,
bucharest,giurgiu,land,
bucharest,lichiresti,land,
bucharest,slobozia,land,
buchen,erbach,land,
buchen,mergentheim,land,
buchen,miltenberg,land,
buchen,mosbach,land,
buchen,ohringen,land,
buchen,tauberbischofsheim,land,
buchu,daklha_gampo,river,
buchu,rigyal,river,
buchu,zhokha,river,
buckeburg,detmold,land,
buckeburg,hamelin,river,
buckeburg,hanover,land,
buckeburg,minden,river,
buckeburg,neustadt_am_rubenberge,land,
buckingham,daventry,land,
buckingham,dunstable,land,
buckingham,northampton,land,
buckingham,oxford,land,
buda,esztergom,river,
buda,fehervar,river,
buda,hont,land,
buda,nograd,river,
buda,pest,river,
buda,tata,land,
budaun,gunnaur,land,
budaun,pali_uttar_pradesh,river,
budaun,sambhal,land,
budaun,sargadwari,land,
budaun,shahabad_uttar_pradesh,river,
budaun,shahjahanpur,river,
buddahatchie,hogehege,land,
buddahatchie,koasati,land,
buddahatchie,napochi,land,
buddahatchie,tchoukafala,land,
buddu,isinguro,land,
buddu,lake_victoria,lake,
buddu,rubaga,land,
bude_bay,lizard_point,sea,
bude_bay,milford_haven,sea,
bude_bay,north_eastern_atlantic32,sea,
bude_bay,north_eastern_atlantic33,sea,
bude_bay,severn,sea,
bude_bay,truro,coastal,
budejovice,husinec,river,
budejovice,j_hradec,land,
budejovice,krumlov,river,
budejovice,pisek,land,
budejovice,trebon,land,
budimlja,pljevlja,land,
budimlja,prijepolje,land,
budimlja,sjenica,land,
budimlja,trgoviste_SER,land,
budingen,friedberg_hesse,land,
budingen,fulda,land,
budingen,hanau,land,
budingen,lauterbach,land,
budingen,lohr,land,
budingen,nidda,land,
budjanga,ganggalida,land,
budjanga,gunindiri,land,
budjanga,manangoora,land,
budjanga,ngandji,land,
budjanga,yanyuwa,land,
buenaventura,morgan,land,
buenaventura,pio_gwut,land,
buenaventura,salt_lake,lake,
bueng_boraphet_lake,phayuhakhiri,lake,
buga,caloto,land,
buga,caly,river,
buga,tulua,land,
buga,vijes,land,
buganda,busoga,land,
buganda,lake_victoria,lake,
buganda,mubemde,land,
buganda,north_buganda,river,
buganda,rubaga,land,
bugara,buzanga,river,
bugara,ewina,land,
bugara,haya,river,
bugara,isinguro,land,
bugara,mugamba,river,
bugara,ndorwa,river,
bugara,shubi,river,
bugat,tsogt,land,
bugat,zuun_garyn_gobi,land,
bugulma,kamyshla,land,
bugulma,syun,river,
bugulma,turkmenevo,river,
bugur,kucha,river,
bugur,kuerchu,land,
bugur,kurla,river,
buguruslan,buzuluk,land,
buguruslan,staryi_amanak,land,
buha,caka,land,
buha,dangcheng,land,
buha,dungkar_amdo,land,
buha,qilian,land,
buha,qinghai_lake,lake,
buha,sanjiaocheng,land,
buhoodle,burao,land,
buhoodle,galkayo,land,
buhoodle,geledi,land,
buhoodle,maduna,land,
buhoodle,oodweyne,land,
builoo,dwarawala,land,
builoo,garingbal,river,
builoo,gayiri,land,
builoo,margany,river,
builoo,wakelbara,land,
builoo,wangan,river,
builoo,yagalingu,river,
builth,kidwelly,land,
builth,machynlleth,land,
builth,radnor,land,
buinovichi,kopyshche,land,
buinovichi,lelchytsy,land,
buinovichi,mazyr,river,
buinovichi,pietrykaw,river,
buinovichi,stodolichi,land,
buinovichi,turov,land,
buir_nuur,dalai_nuur,land,
buir_nuur,khalkh,land,
buir_nuur,lake_buir,lake,
buir_nuur,menen,land,
buir_nuur,sangiin_dalai,land,
buir_nuur,tamsabulag,land,
buitrago_de_lozoya,colmenar,land,
buitrago_de_lozoya,guadalajara,land,
buitrago_de_lozoya,sepulveda,land,
buitrago_de_lozoya,siguenza,land,
buiunda,kolyma_trail,river,
buiunda,orotukan,river,
buiunda,seymchan,river,
bujang,gerik,land,
bujang,kedah,land,
bujang,kedah_coast,port,
buk,grodzisk_wielkopolski,land,
buk,miedzyrzecz,land,
buk,poznan,land,
buk,skwierzyna,land,
buk,szamotuly,land,
buka,laverdy_cape,coastal,
buka,matchin_bay,coastal,
buka,puputun_cape,port,
buka,tinputz,through-sea,matchin_bay
bukachacha,irakinda,river,
bukachacha,nurchuu,land,
bukachacha,ziul_zkan,river,
bukan,mahabad,land,
bukan,miandoab,land,
bukan,sain,land,
bukan,sardasht,land,
bukatatonoa_atoll,lakeba,land,
bukatatonoa_atoll,moce_coast,coastal,
bukatatonoa_atoll,vanua_balavu_coast,coastal,
bukawa,huon_gulf,port,
bukawa,kate,land,
bukawa,wampar,land,
bukcheong,dancheon,land,
bukcheong,gapsan,river,
bukcheong,hamheung,land,
bukcheong,yanghung_bay,coastal,
bukcheong,yongdae_cape,port,
bukelon,constantia_bul,river,
bukelon,demotica,river,
bukelon,edirne,land,
bukelon,elhovo,land,
bukelon,haskovo,river,
bukelon,ormenio,river,
bukhara,karmana,river,
bukhara,muborak,land,
bukhara,paikend,river,
bukhara,tim_samarkand,land,
bukhara,vardanzi,land,
bukhta_anastasii,khatyrka_coast,sea,
bukhta_anastasii,machevna,coastal,
bukhta_anastasii,north_pacific_high_sea96,sea,
bukhta_anastasii,ozero_tyulen_ye1,sea,
bukhta_anastasii,vatyrkan,coastal,
bukhta_anastasii,vukvylgayat,port,
bukhta_lavrova,north_pacific_high_sea102,sea,
bukhta_lavrova,pakhachi,port,
bukhta_lavrova,pakhachi_coast,sea,
bukhta_lavrova,zapovednik_cape,sea,
bukhta_mutnaya,kamtchatka_coast5,sea,
bukhta_mutnaya,kronotskiy_zaliv2,sea,
bukhta_mutnaya,north_pacific_high_sea108,sea,
bukhta_mutnaya,north_western_pacific14,sea,
bukhta_ossora,karaga,port,
bukhta_ossora,karagin,coastal,
bukhta_ossora,karaginsky_coast3,sea,
bukhta_ossora,kichiga,port,
bukhta_ossora,skrytaya,coastal,
bukhta_ossora,zapovednik_cape,sea,
buki,eastern_selayar_strait,coastal,
buki,kayuadi_island,port,
buki,western_selayar_strait,coastal,
bukino,kalala,river,
bukino,kangule,land,
bukino,kikassa,river,
bukino,kiluata,river,
bukino,kwila,land,
bukino,pende_kwila,river,
bukiyip,kairiru_island,port,
bukiyip,maia_papua,land,
bukiyip,wogamusin,land,
bukov,buzau,land,
bukov,meteleu,land,
bukov,parscov,land,
bukov,ploesti,land,
bukov,slobozia,land,
bukov,valenii_de_munte,land,
buksunda,omchikan,land,
bul_bukhta,molvo,river,
bul_bukhta,uch_barchik,land,
bula,gorong_islands,coastal,
bula,nunusaku,land,
bula,waru_bay,port,
bula,werinama,land,
bula_kongo,bungu_kongo,land,
bula_kongo,dingi,land,
bula_kongo,maguela,land,
bula_kongo,mbanza_kongo,land,
bula_kongo,mbanza_mbata,land,
bula_kongo,mbanza_nsundi,river,
bula_kongo,nogui,river,
bulaka_mouth,dumande_coast,sea,
bulaka_mouth,marind,port,
bulaka_mouth,marlew,port,
bulaka_mouth,pulau_witau_island,sea,
bulakan,gori_gori,land,
bulakan,lingketeng,land,
bulakan,outer_tomini_bay,coastal,
bulakan,peling_strait,port,
bulamu,wakabunga,land,
bulamu,warluwarra,river,
bulava,deren,land,
bulava,dzhuk,land,
bulava,mosolova_bay,coastal,
bulava,nurgan,river,
bulava,pilda,river,
bulbancha,chandeleur_sound,port,
bulbancha,chawasha,river,
bulbancha,itihumma,river,
bulbancha,lake_pontchartrain,lake,
bulbancha,maurepas_lake,lake,
bulbancha,salvador_lake,lake,
bulbancha,tangipahoa,land,
buleda,irafshan,land,
buleda,paroom,land,
buleda,tump,land,
buleda,turbat,land,
buleda,zik,land,
bulgan,chinggil,land,
buli_bay,cape_lelai,sea,
buli_bay,cape_saobas,sea,
buli_bay,maba_celebes,coastal,
buli_bay,waigeo,coastal,
buli_bay,weda,port,
buli_bay,weda_bay,sea,
bulik,hulu_lamandau,river,
bulik,hulu_seruyan,land,
bulik,kotawaringin_lama,land,
bulik,pinoh,land,
buljigu,galaagu,land,
buljigu,malba,land,
buljigu,wangkatja,land,
buluan,kabacan,river,
buluan,kalagan,land,
buluan,makar,land,
buluan,tboli,land,
buluguda,geraldton_bay,port,
buluguda,lucky_bay,coastal,
buluguda,nhanta,land,
buluguda,thung_arra,land,
buluguda,wajarri,land,
buluguda,wardal,land,
bulun,byanye,river,
bulun,dakky,land,
bulun,udamik,river,
bulun,uolba,river,
bulun,uyana,land,
buluranriding,lebonghitam,land,
buluranriding,lumpur,land,
buluranriding,musi_hilir,land,
buluranriding,palembang,land,
bumbe,chimuande,land,
bumbe,mbridge,land,
bumbe,nbengo,land,
bumbe,nsolu,river,
bumbuli,chibango,land,
bumbuli,ikongo_boa,land,
bumbuli,lubefu,land,
bumbuli,lukenie,land,
bumbuli,mabale,river,
bumbuzi,dambwe,river,
bumbuzi,kazungala,river,
bumbuzi,khami,land,
bumbuzi,mtoli,land,
bumbuzi,shua,land,
bumbuzi,veekuhane,land,
bumi_ayu,lematang,land,
bumi_ayu,lubai,land,
bumi_ayu,musi,land,
bumi_ayu,palembang,land,
bumi_ayu,prabumulih,land,
bumthang,trongsa,land,
bumthang,zhemgang,land,
bunbury_coast,deepdene_coast,sea,
bunbury_coast,nannup,port,
bunbury_coast,perth_bay,sea,
bunbury_coast,pinjarup,coastal,
bunbury_coast,wardandi,coastal,
bunce_island,port_loko,river,
bunce_island,scarcies,land,
bunce_island,yawri_bay,port,
bundi,kota,land,
bundi,mandalgarh,land,
bundi,mangrol,land,
bundi,rampura,land,
bundi,ranthambore,land,
bundjalung,byron_bay,port,
bundjalung,galibal,land,
bundjalung,gumbaynggirr,river,
bundjalung,quandamooka,land,
bundjalung,wadjar,river,
bundjalung,yuraigir_coast,coastal,
bungabali,ombai_strait,port,
bungabali,timor_strait,coastal,
bungabali,wetar_strait,coastal,
bungalaut_channel,indonesia_high_sea15,sea,
bungalaut_channel,indonesia_high_sea16,sea,
bungalaut_channel,mentawai_strait1,sea,
bungalaut_channel,mentawai_strait2,sea,
bungalaut_channel,outer_siberut_strait,sea,
bungalaut_channel,pagai,coastal,
bungalaut_channel,siberut,coastal,
bungalaut_channel,sikakap_strait,sea,
bungalaut_channel,sipura,port,
bungi,mandar_bay,port,
bungi,sidenreng,land,
bungi,toraja,land,
bungku,lasolo_bay,coastal,
bungku,matano,land,
bungku,mori_celebes,land,
bungku,sambandete,land,
bungku,tolo_bay,port,
bungu,east_kimbu,land,
bungu,fipa,land,
bungu,ivuna,land,
bungu,lake_rukwa,lake,
bungu,nyakyusa,river,
bungu,west_hehe,land,
bungu,west_kimbu,land,
bungu_kongo,cabinda_kongo,land,
bungu_kongo,chiloango,land,
bungu_kongo,dingi,land,
bungu_kongo,malemba,land,
bungu_kongo,nogui,land,
bunji,chilas,river,
bunji,gilgit,river,
bunji,skardu,river,
