location,status,good_results
chalancon,good result,le_puy|montbrison|saint_etienne
gombe,good result,bih|biu
luoxiong,good result,bada|huangcaoba|shizong
beledweyne,good result,kelafo|jowhar
kwakanyesha,good result,chirowe|msire|msoro
nee_tahi_buhn,good result,cine|suket
speyer,good result,germersheim|heidelberg|neustadt_an_der_haardt|bruchsal
zhenyang,good result,xizhou|luoshan
arnhem,good result,doetinchem|nijmegen|tiel
ammoscongon,good result,umbagog
tak,good result,chakangrao|nakhon_chum|tuy|omkoi
chalkyitsik,good result,venetie|gwichin_uplands
caratunk,good result,norridgewock|moosehead_lake
chalon_sur_saone,good result,macon|louhans|ia
watonwan,good result,shetek|ocheyedan
paruhuya,good result,nas|tcha_shka_ozhaye|ou|kanahatino|nas|mashgalende
kunming,good result,anning|fumin
kilwa_kisiwani,good result,north_ngindo
urucu,good result,aimore|borun
jarrakan,good result,kadjerong|doolboong
karauli,good result,dholpur|sheopur|sabalgarh
hsenwi,good result,namhsan
hedmarksvidda,good result,elverum|amot
liyang,good result,yixing|jintan
peshawar,good result,jalalabad|lalpur|mardan
doetinchem,good result,arnhem|kleve|aoe
cordoba,good result,carpio|palma_del_rio
kahwenoke,good result,ahkwesasne|otennienontant|toniato|ahkwesasne_ny|kaniatarahontsi|ia
temnikov,good result,kadom|krasnoslobodsk
chamba,good result,wulensi|bimbilla
lanling,good result,riz|xiapi|ia|ia|ath|wej|linyi|yo
vendome,good result,chateau_du_loir|chateaudun
huaman_karpa,good result,paqwayranra|willkawaman|soras
kxau,good result,prieska|kheis
miskwaagamiiwi,good result,koochiching
olekma,good result,tuorbchany|kudu_kyuyol|balagannakh|yunkyur
qujiang,good result,shixing|mengli|ruyuan
chenggu,good result,nanzheng|yangzhou
pinanaca,good result,ryn|chisos|wau|dzithinahnde|chinaitih
ramkola,good result,ambikapur|ramgiri
nyuele,good result,dulgalakh
yunhe,good result,lishui|longquan
selo_yartsevo,good result,lar|wa|siberian_wasteland_13|siberia_bor|nazimovo|oral|sulomay
nioac,good result,pantanal_swamp|terena|kaiowa
egin,good result,ilic|arapgir|ia|ani|otun|ia
busk,good result,brody|zhovkva|kremenets
enxet,good result,ycuamandiyu|kuarepoti|enlhet|enenlhet|ipholhhelhlhup
bitki,good result,bulava|pilda
nandian,good result,longchuan|tengchong|rouyuan
tyanya,good result,kundy|torgo|dikimdya
angoya,good result,osenny
el_bahnasa,good result,minya|tahna
kostopil,good result,stepan|rivne|ia|ath|ou
torres_novas,good result,santarem|ponte_sor
nguidjilone,good result,salde|kanel|matam
shahpur,good result,thal_desert_2|bhera|aya
tanabi,good result,paranaiba|tiete|sao_jose_preto|bororos|uberaba
palaquechare,good result,bidai|pau|mayeye|toho
xiaoxi,good result,pengxi|suining
sinipi,good result,chinipi
tournon,good result,privas|tuy|saint_etienne|valence|romans
indigiir,good result,oyotun|chukchi_sea
klyuchi,good result,kamchatsk|malka|kamchatka_uplands2
chandravati,good result,one|siwana|gudamalani
dezful,good result,andimeshk|shush|ia|shushtar
wemitigoj,good result,memesagamesing|nemag|gex
payubre,good result,romang|taragui
raqchi,good result,otish_mountains|pikillaqta
atikuan,good result,la_grande_hills
mohan,good result,alirajpur|nandod|astamba_dongar
millau,good result,entraigues|st_affrique|florac|mende
malinithan,good result,konwargaon|gomsi
tabynsky,good result,ulukulevo|sterlitamak|ishimbay
kalpi,good result,korra|makanpur|rath
zielona_gora,good result,kozuchow|krosno_odrzanskie|sulechow
belur,good result,raz
marmainde,good result,nambikuara
dalaiketun,good result,qiqihar|laha
choigan,good result,hit|systyg
otog,good result,dingyuan_lingzhou
yelnya,good result,shui|smolensk|dukhovshchina
moyobamba,good result,solimoes_amazon_jungle|lamas
q_espiea,good result,swarakxen|snk_mip|illecillewaet
maskikogamak,good result,nikitotegwak|lantu|megantic
guarinoes,good result,ondaimas|guaduas
changning,good result,guiyang_hengyang|ou|qiyang
fuzhou_sichuan,good result,changshou_changshou|ia|wulong|fengdu
choluteca,good result,texiguat|ukutal|fonseca_bay
granite,good result,deer_lodge|missoula
pokot,good result,ilchamu|ngibelai
kuivaniemi,good result,pudasjarvi
canindeyu,good result,chiripa|ath|umuarama|ani|mbya|takuru_puku|curuguaty
kakoba,good result,kalala|wambu|lubalo
haveri,good result,shimoga|uchangidurga|kundgol|puvina_padangile
axawiri,good result,machala|kori_bara_karaa_ancas|callapa
tongle,good result,nadi|wangmu|lucheng|luodian|ceheng
mouchalagane,good result,capotigamau|manicouagan_depression|lake_mouchalagane
sangar,good result,sitte|argas|batamay|kuturga
otta,good result,imsdalen|tofte
patea,good result,whanganui
zongyang,good result,tongling|huaining|wuwei
barasuru,good result,aheri|sam|bhadrachalam|rekapalle|dantewada|palampet
sangha,good result,mambere
angermunde,good result,chojna
papile,good result,kraziai|mazeikiai
quanning,good result,kailu|linhuang|qingzhou_mongol|wuping|songzhou
sripura,good result,tilda|raipur|rajim|deori|ye
przemysl,good result,yaroslav_poland|krosno
alsigontekw,good result,nebesek|nikitotegwak
uleaborg,good result,utajarvi
kuukucyn,good result,anadyr_trail|keelivtyn
ixcatlan,good result,teotitlan|oxitlan|cuicatlan
nghe_ann,good result,hoan_chau|chiba|ca_river_estuary|raz
nur,good result,sokolow|kamieniec
tulcea,good result,chilia|ismail|reni|lake_yalpuh|enisala|north_danube_delta
lysva,good result,gubakha|dobryanka|nizhny_tagil
pua,good result,nan
amyint,good result,kanna|pakokku|talok|pinya|butalin|dhipaesyin
mokshan,good result,nizhny_lomov
kukra,good result,wounta_lagoon|karawala
ompompanusooc,good result,ottauquechee|passumpsic|po|sunapee|po|ammonoosuc
capotigamau,good result,kaf|toulnustouc|ia|ye|po|wa|manicouagan|mie|mouchalagane|ayon
tharawal,good result,blue_mountains|guramal|jerrinja
komo_kongo,good result,jingle|mirama|uvira|lake_kivu|pere|lega_kongo
kunjen,good result,koko_bera|kokomini
teotitlan,good result,ixcatlan|cuicatlan|tehuacan
naumburg,good result,apolda|weissenfels
djabuganjdji,good result,kuku_yalanji|yidinjdji|wimanja
lushan_yazhou,good result,hengduanshan1|diaomen
veliky_beckerek,good result,kikinda|zenta|modos
willkawaman,good result,millcca|tukri_apu_apu|soras|huaman_karpa
jaru,good result,great_sandy_desert|gooniyandi|oladjau|mar|gurindji|tonami
chiquia,good result,garu
bindal,good result,wulgurukaba|yuru|ye|burdekin
az_zilfi,good result,an_nibaj
wuyuan_huizhou,good result,dexing|fuliang|leping|epe
anchun,good result,juru_hoton|khanda
jequitinhonha,good result,ye|maxakali|almenara
ochechiton,good result,kaskaskia|mitchigamea|chepoussa
tarbes,good result,nogaro|saint_gaudens
hedemora,good result,avesta|stora_tuna
jinxi,good result,linchuan
piantouguan,good result,hebin|ningbian|hequ|ye
vyazma,good result,izdeshkovo
sigmaringen,good result,hohenberg|saulgau
lyubytino,good result,borovichi|ou|kulotino|tara|ath|ou|veliky_porog|wa
molins,good result,bourbon|jaligny|vichy|montcenis|nevers
isiro,good result,bomokandi|dungu
asanas,good result,kyr_uzkand|sighnaq|kamyskala
yelabuga,good result,mamadysh|sarapul|zainsk|chalninsky_pochinok
chuapa,good result,fimi|yans
yaqan_nukiy,good result,aqanqmi|akinka_nup
zhaoxin,good result,abe|linhuai|wuhe
koulikoro,good result,bamako|nyamina
natuak,good result,kasuswapaskau|larch_plateau
toyon_ary,good result,tit_ebya|charang|ulakhan_an|tit_ary|buotama|tuy|ia
tapajo,good result,tupinambarana|amazon_jungle|turere_lake|curuai
msiri,good result,bamgweolo|itaboa
waumandee,good result,abe|enookwasaneenah|hahatououadeba|wapkawazioju
ozoro,good result,ugbodu|wari|nnewi
ambuila,good result,bembe_kongo|damba|wandu|wembo
an_nuhaytiyyah,good result,an_nuqrah|as_sulaymi
songzhou_songzhou,good result,liangxian_ruzhou|yiyang_songzhou
wapitotem,good result,pichinamei|winisk_uplands|attawapiskat_lake
chhatarpur,good result,tehri|rahatgarh
akkus,good result,ladik_pontus|samsun
guanghua,good result,wudang|fancheng
htigyaing,good result,shwegu|takawng
meramec,good result,cholohollay|st_francois_mts
maratine,good result,tula|mante
beya,good result,askiz|altay_forest_wasteland_2|shushenskoye|abakasnk
pokshenga,good result,shardonem
s_awdaan,good result,cassiar_mountains
ambalanjakomby,good result,marovoay|maevatanana|ambolosy|ampotaka|ia
debrc,good result,petrovaradin|sremska_mitrovica|sabac|belgrad|ye
kalsi,good result,nahan|gangadvara|hanol
zacatollan,good result,churumekua|petacalco_bay
hurle,good result,taizhou_jurchen|talaha|lake_yueliang
bazarny_syzgan,good result,karsun|chamzinka|saransk
merca,good result,mogadishu|qoryooley
sylhet,good result,jaintiapur|nabagram|sohra|shaharpara
zankor,good result,shakka|taweisha|wara
romans,good result,tournon|valence|vienne|saint_marceilin
ganze,good result,nyarong|manigango
kasba,good result,lake_kasba|robins_lake_upland
krupki,good result,barysaw|byerazino
kadinga,good result,chamuhongo|shana_bukanda
vashka,good result,russian_wastelands_9|chirki
yichun,good result,wanzai
kengtung,good result,matman|mong_yang|ye|mong_yawng|mongping
agaidika,good result,waradika|iyeesnime
apahtoksipisskan,good result,mokowan|inotonniicaah|enez
kikassa,good result,bukino|kiluata|bojamba
lokoja,good result,ewu|nupeko|lapai|kuje
nodaway,good result,nudarcha|wimihsoorita|nishnabotna|shuntaneshnanga|nemaha
metabeskega,good result,minkaniciciw|maskotci|tapani|capimitchigama
kosi,good result,vijayapur|chaudandi
east_kimbu,good result,west_kimbu
makurap,good result,djeoromitxi
nakaigetergehe,good result,gomsi|ou|yaaucaniga|tilala|ou|romang
eseejja,good result,sette|madeira_amazon_jungle|takana
saint_etienne,good result,chalancon|tournon|feurs|montbrison|riverie|vienne
namling,good result,shigatse|tsangdram
aranama,good result,mariame|cantona
juchatengo,good result,coatlan|comitlan|amoltepec
onitsha,good result,ugbodu|nnewi|ia
naogaon,good result,bogra|godagari|rampur_boalla
jiading,good result,nanhui
olenyok,good result,taymylyr|laptev_sea
ondaimas,good result,chipata|guarinoes
linqing,good result,guancheng|xiajin|guantao
bykovo,good result,zenzevatka|srednyaya_akhtuba|ena
kalkadoon,good result,mayi_thakurti|ia
seta,good result,tone
baluba,good result,fez|ou|tchikunga|hemtine|chamuhongo|moana_muafi|kabebe
andong,good result,bonghwa|yeongcheon
chiisagata,good result,saku|sarashina|fez
putyvl,good result,buryn|melnya|glushkovo
vidin,good result,plenita|archar|visesav
nomatsigenga,good result,solimoes_amazon_jungle|ayacucho_jungle|chanchacc|epe
onimgohow,good result,kanawha|ye|ia|muskingum|ethapetha
wabimeig,good result,ia|ogoki|attawapiskat_lowlands|mammamattawa|ye|ia|tchakashapug|english_river_uplands
acroas,good result,caraja|kraho|xerente|akwe
mepenes,good result,tsiripa|lanagashec|qollaxalec|avaes
mudhol,good result,bagalkot|basavana_bagewadi|athani|gokak
calatrava,good result,ciudad_real|almodovar_del_campo
iguape,good result,cananeia
pimpu,good result,moana_muafi|molundu|kabebe|lubudi
qar_ka_la,good result,qom_caia
mishan,good result,sai|hulin|shuangyashan
lasko,good result,novo_mesto|kranj|zagreb
ranibas,good result,chainpur|chaudandi|rajanari
tuzdysor,good result,imakia
idanha,good result,alcantara|brozas|valencia_de_alcantara|castelo_branco
bolshoye_selo,good result,uglich|ust_sheksna|mologa
xiaoshan,good result,fuyang_hangzhou|qiantang_estuary|ou|aya
funing_huaian,good result,shanyang_huaian|andong_huaian|jiangsu_coast
wagiman,good result,kungarakany|jawoyn|limilngan
gokak,good result,mudhol|belgaum|raybag
shioya,good result,non|echigo_mountains|kawachi|haga|ye
biysk,good result,altayskoye|smolenskoye|mayma
daboya,good result,yendi|nakpa|gambaga
maskwa,good result,wabaseemong|manigotagan
yeyi,good result,deti|khwe|ani_south
comacchio,good result,ferrara|rovigo|ia|chioggia|po_delta
muata_musembo,good result,nguff|sainiambu|lucapa|kisenge|mulunda
bacs,good result,bodrog|titel|mohacs|vukovar|ilok|sremska_mitrovica
doh_kromum,good result,ban_don|ye|lumphat
raikot,good result,sirhind|hajner|jalandhar
nanyang,good result,xinye|nanzhao
badreh,good result,darrehshahr|holeylan
mikkwa,good result,kai_theli_ke_hot_inne|wabasca
karad,good result,kolhapur|miraj|dabhol
gichthanne,good result,lewekeomi|tywhapita|aaboukingon|aankwaahsakwa|patoka
toropets,good result,andreapol|bibirevo|nizhelskoe
khvorostyanka,good result,sosnovy_ostrov|shigony|ye|morkvash|solovtsovo
aundh,good result,singarh
mongnawng,good result,kengtawng|lai_hka|monghsu|kengkham
kailu,good result,tongliao|ye|zhengjiatun|linhuang|naiman|quanning
soboloox,good result,cibagalaax|indigiir|yukaghyr_upplands3
rakhiv,good result,sighet
visegrad,good result,srebrenica|pljevlja|uzice
nga_lac,good result,muang_sam_tai|thanh_hoa
hupenuu,good result,ath|oohkoi_yohe|ath|kwahada|ath|kwaaru
arapgir,good result,ilic|cemisgezek|keban|arguvan|egin
kusike,good result,kioko|kapela|mbwela_kabango
arezzo,good result,sansepolcro|florence|sanlorenzo
sumperk,good result,olomouc|zabreh
nagod,good result,ramnagar|rewa
mghumbhani,good result,tzaneen|mashishing|kungwini
godagari,good result,birampur|epe|gaur|naogaon|chandrabad
kampong_roessei,good result,chan_bo|prey_nokor|prasat_pram_lovet|ganh_rai_bay
lingzhou_dezhou,good result,vik|wuqiao|jingzhao|enzhou
zherkorgan,good result,talas|sarvaslyk
gwalior,good result,narwar
bronnitsa,good result,novgorod|tuy|kresttsy|lake_ilmen|hall|amal
zemukh,good result,otrar|artyk_ata|sutkent|zhaushikumtobe
karymkary,good result,sukhorukova|kaltysyany
panara,good result,xingu_amazon_jungle
nilka,good result,gulja|narat|tokkuztara
sipri,good result,chanderi|guna|narwar
owashtanong,good result,wabenasibi
revny,good result,bryansk|trubchevsk
xiangyin,good result,yiyang_changsha|ia|qiaokou|yuanjiang|has|dongping|wa
jecheon,good result,chungju|danyang_korea
berlanga,good result,almazan|burgo_de_osma
tutak,good result,malazgirt|karakilise
hoeyang,good result,geumseong
yorga,good result,cherepoves|ust_ugla|kirillov
korpilombo,good result,branna|pajala|juckasjarvi
bakhanay,good result,jigansk
buksunda,good result,kedon_range|omchikan_range
sukhorukova,good result,siberian_wasteland_4|belogorye|karymkary|kaltysyany
jaroujiji,good result,bor|mattole
shergarh,good result,bardhaman|gobindpur|katrasgarh
drastar,good result,cegani|lichiresti|cernavoda|tutrakan
bareilly,good result,shahjahanpur|budaun
shilovo,good result,putyatino|staraya_ryazan
begho,good result,bondoukou|dormaa
cuyo,good result,pipanaco|polco|rio_salado_salt_marsh|ye
ambositra,good result,midongy
faramana,good result,sya|bankuy|hounde
east_ngindo,good result,songo_mnara
zambrow,good result,lomza|tykocin
kalapuya,good result,bor|umpqua|atfalati
jaunpur,good result,sultanpur_uttar_pradesh|varanasi|chunar|mau_jaunpur
garalo,good result,mandiana|niani|massigui
bruneck,good result,lienz
davyd_haradok,good result,apt|lakhva|turov|ia|stolin|awa
kassai,good result,kadinbola|difunda
huangping,good result,taigong|kaili|panqiao|wengshui
watlala,good result,atfalati|multnomah|po|wishram
gutian,good result,minqing
gorongoza,good result,chiveve|masekesa|zembe|mbombona
damietta,good result,damietta_mouth|dakahla|mansoura|samanoud
wemotaci,good result,opiticiwan|kokokachi
ningyuan_gongchang,good result,longxi_gongchang|fuliang
annaburg,good result,schweinitz|meissen|torgau|po
troyes,good result,broyes|brienne
ilomantsi,good result,vartsila|pielinen
acatic,good result,tonala
apiai,good result,bocaiuva|bocaiuva
kyulekyan,good result,kyubyainde|raz|wa|sakha_uplands|abe|apt|kyulekyan|kem|otun|ani|oban
longford,good result,lough_ree|leitrim|ia|longford|ani|kem|otun|ani|abe|aoe|wej|ani|oban
pinsk,good result,nobel|stolin
k_alii_xkalaan,good result,gitxsanimaax
lule,good result,salta|noques_jungle|chinipi|ashca_caycu|ena
gaur,good result,ou|pandua_adina|godagari|chandrabad|jangipur|katihar
hradec_kralove,good result,nachod|podebrady
massanza,good result,tete|zumbo|ancuase|tembue
khantayskoye,good result,dudinka|obion|turukhansk|siberian_tundra_2|siberian_forests_3
truka,good result,paranabuku|tumbalala|pankara
sangacho,good result,nyainqentanglha4|rima|himalaya21
nanning,good result,zhanyi|luliang|ye|rende|dongchuan
menkyule,good result,khandyga|tompo
thada,good result,khalangsha|rongmei_naga
anana,good result,miranda_de_ebro|laguardia
mante,good result,tamtoc|maratine
dingri,good result,gonga_chode|pelmo
gaiman,good result,kububu|gan_gan|colhue_huapi
hienatiemi,good result,tornea|ranea|branna|ia|pajala|ia|rovaniemi|ia
voghera,good result,piacenza|pavia|lomello|alessandria
yeongdong,good result,yeonsan|jinjam
kangule,good result,lindi_kwila|tumba
bozok_astana,good result,shybyndy|atbasar
metabetchouane,good result,chicoutimi|tchitogama|lake_saint_jean
atpazari,good result,goynuk|akcasehir|cape_pazarbasi
sagu,good result,taungdwingyi|thayet|salin|ngape
ekwan,good result,attawapiskat_lowlands|ia
mandaragirau,good result,konduga|mubi
axocopan,good result,ixmiquilpan|mixquiahuala
patawomeck,good result,ani|doeg|nal|ia|upper_chesapeake_bay|patawomeck|wa|ye|ou|lom|eso|wa|kem|otun|ye|ou|wa|ia|ye|ia|ye|ia|ife|ou|tiel|ye|ye|ia|mii|ou|oban
toro,good result,zamora|medina_del_campo|tordesillas
kisenge,good result,nguff|muata_musembo|sakambunje|mulunda
asele,good result,ramsele|volgsjo|eid
bajone,good result,east_lomwe|lipobane_point
gratesk,good result,skelleftea|arvidsjaur|ia|ou|akkajaur|ia|ou
casqui,good result,chucalissa|hatchie|obion|ou|pacaha|cayas|ou|ann|tus|towosaghy|ia
kashatagh,good result,goroz|goris
dharangaon,good result,thalner|laling|pachora
umpila,good result,rey|mbeiwum|wik|tes
matarjawira,good result,curahuara
tingvalla,good result,farnebo|vanern
kamashikamach,good result,nistam|rupert_plateau
trebon,good result,krumlov
stuttgart,good result,vaihingen|goppingen
terek,good result,endirey|naurskaya|kara_bazaar|caspian_sea14
suzhou,good result,baurang|ely|pingchuan|jianchang_sichuan
cofitachequi,good result,hymahi|talimeco
mechelen,good result,antwerp|sint_niklaas
bakhmut,good result,sloviansk|lysychansk
qasba,good result,fathabad|bikrampur
palmeira_brasil,good result,lapa|ponta_grossa|mafra|guarapuava
guzhou,good result,lantu|xiajiang
fengjie,good result,wushan|yunyang
aparri,good result,balbalan|gattaran|babuyan_channel
nachod,good result,hradec_kralove|jicin
samhwa,good result,seogyeong|hwangju|anak
awajun,good result,solimoes_amazon_jungle|bagua
kokpekty,good result,kurchum|zaysan|zyryan
nijmegen,good result,cuijk|arnhem|tiel|kleve
rampart,good result,tanana|beaver
sanandaj,good result,hawraman|muchesh
beja,good result,mertola|wa|moura
balad_ruz,good result,epe|khalis|khanaqin|boe|ye
brandenburg_prussia,good result,konigsberg|balga|gerdauen|barten|vistula_lagoon
girin_ula,good result,gongxian|lefu
jaen,good result,andujar|boe|baeza|jodar|abe
vijayapur,good result,chaudandi|kosi
hostoticpac,good result,cuauhchinanco|tzapotzingo
ilibalyk,good result,chundzha|koktal
muang_jam,good result,chiang_mai|lamphun
nontron,good result,chabanais|nal|nontron|ou|ye|ou|ye|van|wake|ye|kem|otun|oban
chitambo,good result,msoro|pemba
tokchen,good result,khyunglung
wapkawazioju,good result,kinnickinnic|ia|waumandee|hahatououadeba|hahawakpa|lahontan
volgsjo,good result,asele|tarna|hammerdal
emirdag,good result,celtik|ia|kaymaz
dubica,good result,pakrac|petrinja|gradiski_brod
prey_nokor,good result,kampong_sraka_trey|kampong_roessei|tuol_ta_mouk
harmancik,good result,dursunbey|emet
sarapul,good result,ou|yelabuga|votkings|lower_aktanyshbash|chalninsky_pochinok|kasevo|saygatsky
kashmore,good result,omerkot|sukkur|ghotki
nashwaak,good result,oromocto|pokiok
yuru,good result,ia|bindal|wulgurukaba|diria|burdekin_river_mouth
cernavoda,good result,cegani|orasul_de_floci|harsova|drastar
liban,good result,dolo|harro_walabu|north_sakuye
nilakamberu,good result,malkangiri|sukhma|rekapalle
linhuang,good result,kailu|nes|qingzhou_mongol|quanning
chiautla,good result,axochiapan|tlazcozauhtitlan
tupinambarana,good result,tapajo|urucurituba
amundava,good result,madeira_amazon_jungle|uru_eu_wau_wau|kawahib
khargytyr,good result,vorontsovo|ocuogun|suturuoxa
luanze,good result,massangano|tere|matemba
khoro,good result,herat|ath|vilyuy|ia|byuteydyakh|apt
alirajpur,good result,mandu|mohan
chodrak_kham,good result,nyarong|dzogon
kolchugino,good result,verkhotomsk|salair
mirecourt,good result,ia|ou|nancy|darney
amrabad,good result,markapur|macherla|n_nallamalla|srisailam|devarakonda|panugallu|ia
kumanovo,good result,veles
tbilisskaya,good result,ust_labinsk|romanovsky_khutor
meru,good result,latje_latje|boanawari|burra_burra|nanja
langning,good result,xuanhua_nanning|sienzhou|nas
xiangyuan,good result,licheng_luan|lucheng
gonga_chode,good result,dingri|himalaya12|chainpur
kaxarari,good result,madeira_amazon_jungle|wari
masulipatnam,good result,kondapalli
palmas,good result,santo_antonio|chapeco|taquara
taiping_ningguo,good result,yixian|jingxian
inapiremapu,good result,biobio|wenteche|pebuenmapu
mardan,good result,peshawar|lalpur|attock|sherwan
injangyang,good result,myitkyina|suamprabon|waingmaw
bayan_har,good result,zhalong|bayan_har_mountains2
tiatiki,good result,kankakee|pakamik|waupecan
binmatshua,good result,aashise|ia|cuthuhogwa
khondab,good result,hamadan|karaj_abi_dulaf|qorveh_darjazin
mancha_khiri,good result,chaiyaphum|roi_et|gex|khon_kaen|mueng_fa_daet
matootonha,good result,ruhptare|marapa
carmagnola,good result,turin|saluzzo
idah,good result,ukunzu|lokoja
karmana,good result,bukhara|yangirabod|dimishk
kabixi,good result,parecis|irantxe|ia|enawene
merkine,good result,alytus|punia|bershty
burg,good result,zerbst|say|magdeburg|calbe|jerichow
mocoa,good result,andaki|pimempiro_mountains
kahayan_hilir,good result,abe|banjar|kuripan|kahayan|sampit_bay|ath|cape_selatan
choele_choel,good result,balcheta|curu_leufvu
duanxi,good result,jinkang|gaoyao|fengchuan
molodo,good result,siktyakh|zharzhan
sena,good result,chupanga|mopeia|chiramba|chamo|ancuase
muxima,good result,calumbo|dondo
diyarbekir,good result,egil|savur
wabuk,good result,winisk|mouth_of_the_winisk
castellaun,good result,wittlich|cochem|coblenz
itapirapua,good result,areia|araes|kiriras|goroti_kumrenhtx
alvsby,good result,ye|ye|pitea|ou|ou|akkajaur|jokkmokk
orotukan,good result,debin|buiunda|seymchan
loropeni,good result,diebougou
tchakashapug,good result,attawapiskat_lowlands|wabimeig|mammamattawa
shush,good result,hamidiyeh|dezful|pol_dokhtar
asht,good result,pop_fargana|khujand|kokand|konibodom
gahato,good result,wappasening
quicuima,good result,tocaima
tembesha,good result,bazin|matamba
kabacan,good result,buluan|buayan|kalalaw|minduso
dzithinahnde,good result,pinanaca
monecato,good result,shuntaneshnanga|kansas|kirarutah|harahey
trigu,good result,lhodrak|yamdrok_lake
chilas,good result,tangir|bunji
tinainu,good result,tayxlama|crook|ia
nohmul,good result,chakanbakan|tzunuun|wa
gytgomkyvamm,good result,konchalyt|o_mnmilin_uplands1
suchilapan,good result,chimalapan|xochiapa|texistepec|po
mesilinka,good result,khelhghubunt_en|hominka|yutuwichan
carasova,good result,mihalt|kovin|branicevo|kucevo
khayyr,good result,kel_tegey|urasalakh
mitsiadazi,good result,ath|moehe_yoe|ath|ksai_yohe|oral|iichiilikaaashaashe
zhangzi,good result,shangdang|ou
zhuluo,good result,linxi|xiaodandang|sangme
tsiveri,good result,manabondro|nes
lieksa,good result,repola|pielinen
ayahuacas,good result,calvas|chira
andong_huaian,good result,qinghe_huaian|funing|jiangsu_coast
bayan_susu,good result,hulan|shangjing|chalin
agordat,good result,asmara|ia|anseba
insterburg,good result,gumbinnen|gerdauen
dubrovna,good result,maryovo|abe|dubrovna|sveg|kem|ou|leh|otun|wej|eso|oban
shipai,good result,ia|zhongxiang|fengle|shayang|jingling
pasukhdin,good result,etzanoa|headdhetanwan|wakhakukdhin|tulsa|chikaskia
guwa,good result,maiawali|wanamara
tuul,good result,khar_bukhyn|manzushir
dasmenda,good result,tomarza
misi_zaaga_igan,good result,minnetonka|wabezi|wa|shingwako|mathoskabde|minnewawa
synya,good result,voikar|zazhimchar
ziryanka,good result,omchikan_range|tala_kyuyel|utaya|nelemney
celtik,good result,polatli|emirdag|sivrihisar|kaymaz
tzapotzingo,good result,hostoticpac|hostotipaquillo|xalisco|sentispac|nayarit
changan,good result,rongshui|huaiyuan_rongzhou
ife,good result,ijebu_ode|ede|ou
kampong_sraka_trey,good result,ou|chan_bo|cat_tien|song_be|ia|prey_nokor|tuol_ta_mouk|ye
rubaga,good result,bigo_bya_mugenyi|vitoria
mbai_yuru,good result,porto_tibirica|itaporanga|jataizinho|itarare
chennur,good result,aheri|sirpur|yegaladapa|palampet|ramagiri
iswa,good result,ye|guaquili|ath|catawba|ia|ena|tes
kasevo,good result,sarapul|ou|verkhneyarkeyevo|saygatsky
hulu_pawan,good result,abe|tanjungpura
pungo_ndongo,good result,awa|bondo|ou|aco|lucala|kuneni
siegas,good result,temiscouata|po|madawaska|po|negoot|aroostook
apure,good result,ou|arauca|guaquire|kara|guajobos|arechuna|guaritico
bajaura,good result,naggar|mandi
tulu_walal,good result,harro_walabu|tulu_nama_dun
vozhega,good result,sumino
monchengladbach,good result,venlo|roermond
poskatinak,good result,ia|anipitapiskow|ia|machichi|sowunusiske
daban,good result,macha|zharkhan|yunkyur
biriri,good result,gubio|potiskum
goaso,good result,dormaa|abengourou|ye
gediz,good result,kula
luocheng,good result,ia|liucheng|ars|rongshui
zondoma,good result,mane|yatenga
kazungala,good result,katima|dambwe|bumbuzi
chinon,good result,loudun|tours|chatellerault
hamadan,good result,khondab|abe|hamadan|ou|kem|otun|abe|ia|ye|ani|oban
ushmum_tannah,good result,lake_manzala|ye|faqus
mingsha,good result,lingwu|yingli
tk_emlups,good result,sk_atsin|qw_ewt
chichawatni,good result,kamalia|dijkot
tarinkot,good result,kajran|maiwand|fez
sai,good result,kerma|faras
adilabad,good result,kelapur|manikdrug|mahur
kara_bazaar,good result,terek|caspian_sea14
lierne,good result,n_jamtland_wasteland|abe|lierne|kem|otun|ani|oban
allpas,good result,churkampa|llacsapallanca|ayacucho_mountains
korvala,good result,rovaniemi|ranua|posio
upper_angara,good result,kezhma|yarkino
shayang,good result,shipai|qianjiang|jingling
milwat,good result,nurpur|batala|kalanaur
wabenasibi,good result,owashtanong
yidinjdji,good result,djabuganjdji|oral|djirbalgan|ia|warungu
alfta,good result,soderala|ia|hogdal|wa|ia
manoninerina,good result,fenoarivo|andranomavo
tashigang,good result,hanle|rala
dazhu,good result,liujiang
yarkand,good result,zarafshan|maralbexi|poskam
qoryooley,good result,barawa|merca
shimoga,good result,kadur|sringeri|basavapattana|haveri
staraya_ryazan,good result,ryazan|shilovo
maradi,good result,dutsi|alkalawa|po
xuanhua,good result,qianwei|yibin
gani_koe,good result,misekumaw|athabasca
alyanbulag,good result,eroo|tarvagatai
ujargarh,good result,ye|bhilsa|nes|chauragarh|deogarh|sugaur
wabinosh,good result,kaitotikwia|ye
zhengcheng,good result,dongguan|guangzhou|boluo
lukou,good result,ars|hengshan|xiangtan
beteta,good result,ou|brihuega|yo|molina_de_aragon|kem
wawiyastan,good result,takwata|kwetabohigan|kagawask
xalima,good result,omoloon|achaka|kolyma_river
nokor_reach_seyma,good result,khorat
balta,good result,edea|ye|zavallia
elblag,good result,malbork|vistula_lagoon
nipissing,good result,lake_nipissing|wanapitei
ket,good result,molchanovo
kurannakh,good result,nemkuchen
kalispel,good result,qlispe|po|sletewsi
uhtuo,good result,kuusamo|lake_sredneye_kuyto|lake_verkhneye_kuyto
