locationA,locationB,accessType
barisan_mountains2,sungai_penuh,land
barisan_mountains2,tembesi,land
barisan_mountains2,tingkip,river
barisan_mountains2,topos,land
barisan_mountains3,batang_tabir,land
barisan_mountains3,batang_tebo,land
barisan_mountains3,dharmasraya,land
barisan_mountains3,karang_brahi,land
barisan_mountains3,sungai_penuh,land
barito,borneo_jungle2,land
barito,kapuas,land
barito,karau,river
barito,tanjungpuri,land
barito,teweh,river
barjols,brignoles,land
barjols,castellane,river
barjols,draguignan,land
barjols,forcalquier,river
barjols,frejus,land
barkdiz,karakum_desert4,river
barkdiz,karakum_desert5,land
barkdiz,merv,river
barkdiz,pandjih,river
barking,chelmsford,land
barking,london,river
barking,prittlewell,river
barking,thames,port
barkinji,barundji,land
barkinji,madi_madi,land
barkinji,strzelecki_desert,land
barkinji,wandjiwalgu,land
barkinji,yitha_yitha,land
barkol_mountains,barkul,land
barkol_mountains,hami,land
barkol_mountains,mori,land
barkol_mountains,naomao,land
barkol_mountains,nazhi,land
barkol_mountains,santokhe,land
barkol_mountains,yuanhu,land
barkol_mountains,zuun_garyn_gobi,land
barkul,santokhe,land
barkul,yuanhu,land
barlad,oancea,land
barlad,targul_saratii,land
barlad,tecuci,land
barlad,tutova,land
barletta,gulf_manfredonia,port
barletta,manfredonia,river
barmaur,chamba_india,river
barmaur,himalayas_chanda,river
barna,gayiri,river
barna,kanolu,river
barna,toolginburra,land
barna,wangan,land
barna,woppaburra,river
barnaul,butyrskoe,land
barnaul,chesnokovka,river
barnaul,kalmanka,river
barnaul,kamen,river
barnaul,suzun,river
barnegat_bay,cape_may,sea
barnegat_bay,long_island_coast_us,sea
barnegat_bay,navisink,port
barnegat_bay,raritan_bay,sea
barnegat_bay,western_atlantic_high_sea87,sea
barnstaple,bideford,river
barnstaple,minehead,river
barnstaple,severn,port
baroda,broach,river
baroda,champaner,river
baroda,indian_coast15,port
baroda,mohan,river
baroda,nandod,river
barom,damzhung,land
barom,drong_lake,lake
barom,gangdise3,land
barom,nakchu,river
barom,nyainqentanglha1,land
barom,ronglung,river
barom,tsedzong,river
baronsk,malykovka,river
baronsk,mokrous,land
baronsk,pokrovsk,river
baronsk,tereshka,river
baronsk,yershov,land
barotse_kongo,cazombo,land
barotse_kongo,kaonde,river
barotse_kongo,kifumaji,land
barotse_kongo,liambye,river
barotse_kongo,libonta,river
barotse_kongo,nana_kandungu,land
barotse_kongo,south_letota,river
barotse_mabunda,kazungala,land
barotse_mabunda,majili,land
barotse_mabunda,minenga,land
barotse_mabunda,monzes,land
barotse_mabunda,nkata,land
barotse_mabunda,shoma,land
barpeta,bijni,river
barpeta,goalpara,river
barpeta,guwahati,river
barpeta,hajo,river
barpeta,zhemgang,river
barpeta,zhongkar,river
barqaid,cizre,river
barqaid,duhok,river
barqaid,nusaybin,land
barqaid,sirnak,river
barquisimeto,carora,land
barquisimeto,gayon,river
barquisimeto,hacarigua,river
barquisimeto,nirgua,river
barquisimeto,tucanca,land
barquisimeto,yaracuy,land
barra_falsa_point,bazaruto_archipelago,sea
barra_falsa_point,chibuene,port
barra_falsa_point,inhambane_bay,sea
barra_falsa_point,mozambique_channel8,sea
barra_falsa_point,mozambique_channel9,sea
barren_island,barren_island_coast,port
barren_island_coast,woodmason_bay,sea
barren_islands,korika_bay,sea
barren_islands,maintirano,port
barren_islands,mania_delta,sea
barren_islands,mozambique_channel10,sea
barren_islands,sahadia,port
barretos,caiapo,river
barretos,jaboticabal,river
barretos,sao_jose_preto,land
barretos,sapukaia,river
barretos,uberaba,river
barros_lagoon,peixe_lagoon,sea
barros_lagoon,sombrio_lagoon,sea
barros_lagoon,western_atlantic_high_sea48,sea
barrow,doole_coast,sea
barrow,eaglehawk,sea
barrow,martuthunira,port
barrow,nhuwala,port
barru,mandar_bay,port
barru,pabbiring_islands,port
barru,sengkae,river
barru,sidenreng,river
barru,tinco,land
bars_khot,bayan_tumen,river
bars_khot,bayantsagaan,land
bars_khot,uguumur,river
bars_khot,yakhi,land
barsalogho,boala,land
barsalogho,djibo,land
barsalogho,dori,land
barsalogho,mane,land
barskoon,chon_naryn,land
barskoon,issyk_kul_lake,lake
barskoon,kochkor,river
barskoon,san_tash,river
barskoon,tian_shan13,land
barskoon,tian_shan8,land
barten,brandenburg_prussia,river
barten,elk,land
barten,gerdauen,river
barten,goniadz,land
barten,insterburg,river
barten,lake_mamry,lake
barten,ryn_poland,river
barten,suwalki,land
barten,wegorzewo,river
bartin,eregli,river
bartin,mengen,river
bartin,ulus,land
bartin,west_pontic_coast,port
bartin,yenicepazari,river
baru,indragiri_estuary,port
baru,kuala_kampar,river
baru,rengat,river
baru,riau_jungle,land
baruga,dyke_ackland_bay,port
baruga,nelson_cape,port
baruga,orokaiva,river
baruga,yareba,land
barulo,belaga,land
barulo,cape_kidurong,port
barulo,cape_payong,port
barulo,niah,river
barulo,tatau,river
barulo,tinjar,land
barun_xiabaer,khalkh,land
barun_xiabaer,sangiin_dalai,land
barun_xiabaer,sorin_nuur,land
barun_xiabaer,tamsabulag,land
barun_xiabaer,ulgain,land
barundji,south_australian_desert,land
barundji,strzelecki_desert,land
barundji,wandjiwalgu,land
barunggam,bigambul,river
barunggam,burrum,land
barunggam,geynyan,river
barunggam,gogai,river
barunggam,murrumgama,land
barunggam,turrbal,river
barunggam,wigal_wollumbul,land
barus,cape_tua,port
barus,singkil,river
barus,sionomhudon,river
barus,sorkam,river
barus,tapanuli_bay,port
barutadura,jadliaura,land
barutadura,kooapudna,river
barutadura,north_spencer_gulf,port
barutadura,nukunu,river
barutadura,pamkala,land
baruun_tar_nuur,boorj,land
baruun_tar_nuur,lake_zuun_tooroi,lake
baruun_tar_nuur,lower_ulz,land
baruun_tar_nuur,qorqonaq_yubur,land
baruun_tar_nuur,tsagaan,land
baruun_tar_nuur,zyyn_tar_nuur,river
barvinkove,berestyn,land
barvinkove,oleksandrivka,land
barvinkove,sloviansk,land
barvinkove,ternivka,land
baryang,gangdise8,river
baryang,himalaya9,river
baryang,tokchen,land
baryang,tradun,river
baryang,yanal_densa,land
barylas,chyliga,land
barylas,derbeke,river
barylas,echiy,land
barylas,sartang,land
barylas,yana_plateau,river
barysaw,begoml,river
barysaw,krupki,river
barysaw,lahoysk,river
barysaw,lukolm,land
barysaw,lyepyel,river
barysaw,smalyavichy,river
barza,bukan,land
barza,mawet,land
barza,sain,river
barza,santeh,river
barza,sardasht,land
barza,takht_e_soleyman,river
barza,zagros_mountains3,river
basai,kavalan,river
basai,ketagalan,land
basai,kulun,river
basai,santiao_cape,port
basai,tamsui_estuary,port
basai,yonaguni_strait,port
basand,darzanji,land
basand,guzor,land
basand,hissar_mountains1,land
basand,kelif,land
basand,termez,land
basarwa,gana,land
basarwa,hakos_mountains,land
basarwa,juhoansi,land
basarwa,kaudwane,land
basarwa,yeyi,land
basavana_bagewadi,bijapur,land
basavana_bagewadi,jath,land
basavana_bagewadi,mudhol,river
basavana_bagewadi,sindagi,land
basavana_bagewadi,talikota,river
basavapattana,chitradurga,land
basavapattana,haveri,river
basavapattana,kadur,river
basavapattana,shimoga,river
basavapattana,uchangidurga,river
basawunena,colorado,river
basawunena,flaming_gorge,land
basawunena,savery,land
basawunena,sinclair,river
basel,delemont,land
basel,ferrette,land
basel,mulhouse,river
basel,mullheim,river
basel,solothurn,land
basey,borongan,river
basey,leyte_gulf,port
basey,samar_sea,port
basey,tinago,river
bashagard,bent,land
bashagard,jagin_zir,land
bashagard,manujan,land
bashagard,qaleh_ganj,land
bashagard,rameshk,land
bashagard,senderk,land
bashagard,sirik,land
bashi_channel,batanes,port
bashi_channel,batanes_archipelago,sea
bashi_channel,cape_bojeador,sea
bashi_channel,lan_island,sea
bashi_channel,south_china_sea45,sea
bashi_channel,south_china_sea46,sea
bashi_channel,tapeng_bay,sea
bashqurtaran,bijar,river
bashqurtaran,ghorveh,land
bashqurtaran,hamadan,land
bashqurtaran,kurijan,land
bashqurtaran,sohrevard,river
bashqurtaran,yasukand,river
basht,dehdasht,land
basht,dogonbadan,river
basht,nurabad,river
basht,qala_safid,river
basht,yasuj,river
bashtanka,bereznehuvate,land
bashtanka,ingul,land
bashtanka,oleshia,land
bashtanka,vithold_hammami,land
bashtanka,yelanets,land
bashukulumbwe,chioata,land
bashukulumbwe,kafuta,river
bashukulumbwe,kahinga,river
bashukulumbwe,loamba,land
bashukulumbwe,mabunda,river
bashukulumbwe,soba_gawe,land
basilan_strait,coronado_point,sea
basilan_strait,lamitan,port
basilan_strait,pangutaran_group,sea
basilan_strait,samales_islands,sea
basilan_strait,samboangan,port
basilan_strait,sibuguey_bay,sea
basilan_strait,sulu_sea,sea
basim,kalam,river
basim,mahagaon,river
basim,mehkar,river
basim,nander,river
basim,pathri,river
basingstoke,chichester,land
basingstoke,guildford,land
basingstoke,portsmouth,land
basingstoke,reading,land
basingstoke,winchester,land
basingstoke,windsor,land
basingstoke,woking,land
basithah,bir_fajr_basithah_corridor,land
basithah,syrian_desert1,land
baskale,east_taurus_4,river
baskale,hakkari,river
baskale,hosap,land
baskale,zagros_mountains1,river
baskamyr,bolgan_ana,land
baskamyr,orda_bazar,land
baskamyr,talmas_ata,land
baskamyr,ulytau,land
baskatong,capimitchigama,river
baskatong,kiamika,river
baskatong,kitigan_zibi,river
baskatong,poigan,land
baskatong,tapani,land
basna,deori,land
basna,kashigarh,land
basna,paikmal,land
basna,sarangarh,land
basna,sripura,land
basque_coast,bay_santander,sea
basque_coast,bayonne,port
basque_coast,bilbao,port
basque_coast,coast_aquitaine,sea
basque_coast,north_eastern_atlantic37,sea
basque_coast,san_sebastian,port
basque_coast,tartas,port
basque_coast,tolosa,port
basque_coast,tosse,port
basra,hoveyzeh,river
basra,muhammerah,river
basra,suq_al_shuyukh,river
basra,zuwayr,river
basra_al_hamra,ksar_el_kebir,land
basra_al_hamra,larache,land
basra_al_hamra,ouezzane,land
basra_al_hamra,tazroute,land
basra_al_hamra,western_rif,land
bassa,cestos,river
bassa,cestos_point,port
bassa,guinean_jungle,river
bassa,junk_river,river
bassano,castelfranco,land
bassano,dolomite_alps5,land
bassano,feltre,land
bassano,padova,land
bassano,schio,land
bassano,vicenza,land
bassein,bombay,river
bassein,daman,river
bassein,dharampur,land
bassein,forest_of_dang,land
bassein,indian_coast14,port
bassein,indian_coast16,port
bassein,jawhar,land
bassein,kalyan,land
bassein,nasik,land
basswood_lake,kawishiwi,lake
basswood_lake,quetico,lake
bastak,dehtal,land
bastam,damghan,land
bastam,dasht_kavir1,land
bastam,elburz_mountains10,land
bastam,meyami,land
bastar,jagdalpur,river
bastar,kondagaon,river
bastar,kotpad,river
bastar,nowrangapur,river
bastar,raighar,land
bastar_impassable,dantewada,river
bastar_impassable,kondagaon,river
bastar_impassable,paralkot,land
basti,chillupar,river
basti,gonda,river
bastia,calvi,river
bastia,corsica_channel,port
bastia,corsica_east_coast,port
bastia,corsican_mountains,land
bastia,corte,land
bastia,gulf_florent,port
bastogne,la_roche,land
bastogne,luxembourg,land
bastogne,neufchateau_luxembourg,land
bastogne,orchimont,land
bastogne,st_vith,land
bastogne,stavelot,land
bastogne,vianden,land
basud,kalapang,river
basud,mangarin,river
basud,tablas_bay,port
basud,tayabas_bay,port
bata,berato,river
bata,bwambe,river
bata,ebibeyin,river
bata,evinayong,river
bata,maan_jungle,river
bata,niefang_jungle,river
bata,punta_de_campo,port
bata,punta_mbonda,port
batabano_gulf,batanabo,port
batabano_gulf,cape_corrientes,sea
batabano_gulf,cochinos_bay,sea
batabano_gulf,guaniguanico,port
batabano_gulf,hanabana,port
batabano_gulf,marien_cuba,port
batabano_gulf,siguanea,port
batag_island,catarman,port
batag_island,gamay_bay,sea
batag_island,indonesia_high_sea43,sea
batag_island,indonesia_high_sea44,sea
batag_island,lagonay_gulf,sea
batag_island,makarato,port
batag_island,yog_point,sea
batagai,boronuk,river
batagai,cheriumche,river
batagai,taala,river
batagai,tokuma,land
batagai,ust_charky,river
batagai,yuttyakh,river
batala,fatehabad,river
batala,kalanaur,river
batala,kapurthala,river
batala,milwat,river
batala,sultanwind,land
batamay,ecigeen_upplands,river
batamay,kele,river
batamay,khatas,river
batamay,maymaga,river
batamay,sangar,river
batamay,segyan_kyuyol,land
batamay,sitte,river
batan,sibuyan_sea,port
batan,visayan_sea,port
batanabo,guanimar,river
batanabo,habana,river
batanabo,hanabana,river
batanabo,macoriges,land
batanabo,marien_cuba,river
batanes,batanes_archipelago,port
batanes_archipelago,iligan_point,sea
batanes_archipelago,indonesia_high_sea40,sea
batanes_archipelago,japan_high_sea12,sea
batanes_archipelago,lan_island,sea
batang,dzingcho,river
batang,hengduanshan5,land
batang,hengduanshan6,land
batang,litang,land
batang,markham,river
batang,sangme,river
batang,shar_yelpuk,river
batang_tabir,batang_tebo,river
batang_tabir,batang_tembesi,river
batang_tabir,karang_brahi,land
batang_tabir,rantau_benar,land
batang_tabir,sungai_jujuhan,river
batang_tebo,dharmasraya,river
batang_tebo,sungai_jujuhan,river
batang_tembesi,jambi,river
batang_tembesi,karang_brahi,river
batang_tembesi,leko,land
batang_tembesi,perbatasan,land
batang_tembesi,rantau_benar,land
bataung,butha_buthe,land
bataung,eiland,land
bataung,ka_aub,land
bataung,thaba_bosiu,land
bataung,thaba_nchu,land
batchawana,penokean_hills,land
batchawana,whitefish_bay,port
batchingou,cameroon_mountains,land
batchingou,nkam_jungle,land
batchingou,yambasa,river
bateke_kongo,gabun_jungle,river
bateke_kongo,ganda,land
bateke_kongo,mbaka_jungle,land
bateke_kongo,mombote,river
bateke_kongo,okanja,river
batemans_bay,didthul,port
batemans_bay,jervis_bay,sea
batemans_bay,twofold_bay,sea
batemans_bay,yuin,port
batete,congo_jungle,river
batete,isiro,river
batete,katwe,land
batete,kibengo,river
batete,lake_albert,lake
batete,pere,river
batete,pubungu,river
batey,caracas,land
batey,cura,river
batey,guarico,river
batey,onoto,land
bath,bristol,land
bath,chippenham,land
bath,portishead,land
bath,shaftesbury,land
bath,trowbridge,land
bath,wells,land
bathahalak,jingzhou_dorbod,land
bathahalak,muumyangan,land
bathahalak,ulan_hua,land
bathahalak,wuchuan,land
bathahalak,xinhure,land
bathahalak,yinshan,land
bathinda,faridkot,land
bathinda,hajner,land
bathinda,hansi,river
bathinda,hisar,river
bathinda,muktsar,land
bathinda,sarsuti,river
bathinda,sunam,river
bathurst_shore,beagle_gulf,sea
bathurst_shore,daly_river_mouth,sea
bathurst_shore,indonesia_high_sea35,sea
bathurst_shore,indonesia_high_sea36,sea
bathurst_shore,minjilang_coast,sea
bathurst_shore,tiwi,port
batlagundu,dindigul,land
batlagundu,kambam,land
batlagundu,madurai,land
batlagundu,palni_hills,land
batlagundu,pandalam_hills,land
batlagundu,virudhunagar,land
battambang,phnom_srok,river
battambang,prasat_don_an,river
battambang,sdok_kok_thom,river
battambang,tonle_sap_lake,lake
battara,gnowoo,land
battara,kooapudna,land
battara,nawu,land
battara,pamkala,land
battara,willeuroo,land
batu,great_channel,port
batu,inner_siberut_strait,port
batu,outer_siberut_strait,port
batubenge,bayombe,river
batubenge,chibango,river
batubenge,ikongo_boa,river
batubenge,lupungu,river
batubenge,moana_mpafu,river
batubenge,tchikunga,river
batuco,hue_hue_ri_gi_ta,land
batuco,matape,land
batuco,oposura,land
batuco,sahuaripa,land
batuco,soyopa,land
batumi,batumi_bay,port
batumi,khikhani,river
batumi,khupati,river
batumi,lesser_caucasus_mountains1,land
batumi,ozurgeti,river
batumi_bay,black_sea1,sea
batumi_bay,cape_fener,sea
batumi_bay,khupati,port
batumi_bay,ozurgeti,port
batumi_bay,poti_caucasus,port
batumi_bay,rize,port
batumi_bay,sokhumi_bay,sea
batyr,delinde,river
batyr,khakhsyk,river
batyr,kuchugunnur,river
batyr,siberian_forests_6,river
batyr,syrgan,land
batyrevo,simbirsk,land
batyrevo,tetyushi,land
bauchi,gwaram,river
bauchi,jos,river
bauchi,lere,land
bauchi,pankshin,land
bauchi,pindiga,river
baud,kotagad,land
baud,kunjabangarh,river
baud,phulbani,land
baud,sonepur,river
baudissan_point,fas_papua,port
baudissan_point,indonesia_high_sea56,sea
baudissan_point,kairiru_island,sea
baudissan_point,olo,port
baudissan_point,yos_sudarso_bay,sea
baudo,bojaya,river
baudo,choco,river
baudo,cupica_gulf,port
baudo,gioro,land
baudo,quibdo,land
baudo,tribuga_gulf,port
bauge,chateau_gontier,land
bauge,le_lude,river
bauge,sable,land
bauge,saumur,river
baume,delemont,land
baume,montbeliard,land
baume,montbozon,land
baume,neuchatel,land
baume,ornans,land
baurang,hengduanshan1,river
baurang,hengduanshan3,river
baurang,kheong,river
baurang,lhagang,land
baurang,shimian,land
baurang,suzhou,river
baure,guarasugwe_forest,river
baure,itonama,river
baure,siriono,river
bauru,botucatu,river
bauru,brotas,river
bauru,kaingang,land
bauru,sao_jose_preto,river
bauru,tiete,river
bauska,birzai,river
bauska,jelgava,river
bauska,linkava,river
bauska,riga,river
bauska,salaspils,land
bauska,zagare,land
bautzen,decin,land
bautzen,gorlitz,land
bautzen,hoyerswerda,land
bautzen,marienstern,land
bautzen,pirna,land
bautzen,rothenburg_oberlausitz,land
bautzen,zittau,land
bauzi,iau_jungle,river
bauzi,kwerba,river
bauzi,nisa,river
bavanat,dasht_khara2,land
bavanat,eqlid,land
bavanat,harat,land
bavanat,khabar,land
bavanat,marvast,land
bavanat,qaryat_al_bidh,land
bavanat,saadatshahr,land
bavaria_regen,cham,land
bavaria_regen,domazlice,land
bavaria_regen,grafenau,river
bavaria_regen,klatovy,land
bavaria_regen,landau,river
bavaria_regen,prachen,land
bavaria_regen,straubing,river
bavarian_alps1,kitzbuhel,land
bavarian_alps1,mittersill,land
bavarian_alps1,saalfelden,land
bavarian_alps1,zell_am_see,land
bavarian_alps2,berchtesgaden,land
bavarian_alps2,bischofshofen,land
bavarian_alps2,saalfelden,land
bavarian_alps2,st_johann,land
bavarian_alps2,zell_am_see,land
bavaro,bay_samana,port
bavaro,boya,river
bavaro,hicayagua,river
bavaro,mona_passage,port
bavaro,yuma,river
baviko,bombwi,land
baviko,kassongo,land
baviko,lemone,land
baviko,loengowe,land
baviko,mavinga,land
baviko,mucusso,land
baviko,namieta,land
bavly,bugulma,river
bavly,buguruslan,land
bavly,kamyshla,land
bavly,staryi_amanak,land
bavly,turkmenevo,river
bawean,gresik_island,port
bawika,karawala,land
bawika,prinzus,land
bawika,silam,land
bawika,tawahka_jungle,river
bawika,yuskus,river
bawku,dourtenga,river
bawku,gambaga,river
bawku,pusiga,land
bawku,sansanne_mango,land
bawku,tiebele,river
baxian,bishan,river
baxian,changshou_changshou,river
baxian,huaying,land
baxian,linshui,land
baxian,shizhao,river
bay,kumintang,river
bay,lake_bay,lake
bay,lake_taal,lake
bay,maynila,river
bay,pakil,river
bay,tayabas,land
bay_alcudia,bay_palma,sea
bay_alcudia,ciudadela_de_menorca,port
bay_alcudia,costa_brava,sea
bay_alcudia,costa_daurada,sea
bay_alcudia,favaritx_cape,sea
bay_alcudia,gulf_of_lion,sea
bay_alcudia,mallorca_coast,sea
bay_alcudia,manacor,port
bay_alcudia,pollensa,port
bay_alghero,bosa,port
bay_alghero,gulf_asinara,sea
bay_alghero,gulf_oristano,sea
bay_alghero,ligurian_sea_location_1,sea
bay_alghero,sardinian_sea2,sea
bay_alghero,sassari,port
bay_algiers,cape_cherchell,sea
bay_algiers,gulf_bejaia,sea
bay_algiers,tamentfoust,port
bay_algiers,tedelles,port
bay_algiers,western_mediterraneans_sea1,sea
bay_algiers,western_mediterraneans_sea2,sea
bay_aqiq,buri,port
bay_aqiq,coast_danakil,sea
bay_aqiq,dahlak,port
bay_aqiq,dahlak_archipelago,sea
bay_aqiq,edd,port
bay_aqiq,kamaran_islands,sea
bay_aqiq,massawa_channel,sea
bay_aqiq,yemenite_coast,sea
bay_arabat,genichskaya_channel,sea
bay_arabat,kaffa,port
bay_arabat,obitochny_gulf,sea
bay_arabat,strait_kerch,sea
bay_arabat,syvash_sand_bar,port
bay_arabat,temryuk_bay,sea
bay_arabat,vosporo,port
bay_kampong_son,kampong_saom,port
bay_kampong_son,koh_kong_island,sea
bay_kampong_son,rach_gia_bay,sea
bay_kampong_son,wai_islands,sea
bay_kotor,drin_bay,sea
bay_kotor,dubrovnik,port
bay_kotor,gulf_manfredonia,sea
bay_kotor,korcula_strait,sea
bay_kotor,kotor,port
bay_kotor,penne_cape,sea
bay_lubeck,doberan,port
bay_lubeck,eutin,port
bay_lubeck,falster,port
bay_lubeck,fischland_coast,sea
bay_lubeck,grevesmuhlen,port
bay_lubeck,heiligenhafen,port
bay_lubeck,lilla_balt,sea
bay_lubeck,lubeck,port
bay_lubeck,navskov,port
bay_lubeck,rostock,port
bay_lubeck,stora_balt,sea
bay_lubeck,wismar,port
bay_of_cadiz,cadiz,port
bay_of_cadiz,cape_st_mary,sea
bay_of_cadiz,coria_del_rio,port
bay_of_cadiz,huelva,port
bay_of_cadiz,niebla,port
bay_of_cadiz,north_eastern_atlantic47,sea
bay_of_cadiz,sanlucar,port
bay_of_cadiz,sevilla,port
bay_of_cadiz,trafalgar,sea
bay_of_fundy,chignecto_bay,sea
bay_of_fundy,grand_manan_basin,sea
bay_of_fundy,menahkwesk,port
bay_of_fundy,minas_basin,sea
bay_of_fundy,mispec,port
bay_of_fundy,nictaux,port
bay_of_fundy,nmejuaqnek,port
bay_of_fundy,pocologan,port
bay_of_fundy,wekwayik,port
bay_of_islands,eimastukwek,port
bay_of_islands,esquiman_channel,sea
bay_of_islands,mecatina_islands,sea
bay_of_islands,mekapisk,port
bay_of_islands,st_george_bay,sea
bay_of_quinte,cataraqui,port
bay_of_quinte,central_lake_ontario,sea
bay_of_quinte,gananoque,port
bay_of_quinte,ganneious,port
bay_of_quinte,napanee,port
bay_of_quinte,nikahionhwakowa,port
bay_of_quinte,oswego,port
bay_of_quinte,quinte,port
bay_oran,cape_magroua,sea
bay_oran,cape_three_forks,sea
bay_oran,gulf_mazarron,sea
bay_oran,gulf_of_almeria,sea
bay_oran,ksar_ibn_senane,port
bay_oran,mostaganem,port
bay_oran,oran,port
bay_oran,tamazaghrane,port
bay_palma,cap_nau,sea
bay_palma,costa_daurada,sea
bay_palma,ebro_delta,sea
bay_palma,eivissa_coast,sea
bay_palma,gulf_of_valencia,sea
bay_palma,ibiza,port
bay_palma,mallorca_coast,sea
bay_palma,palma,port
bay_palma,pollensa,port
bay_samana,boya,port
bay_samana,escocesa_bay,sea
bay_samana,mona_passage,sea
bay_samana,samana,port
bay_samana,western_atlantic_high_sea8,sea
bay_san_juan,goal_point,sea
bay_san_juan,guaynabo,port
bay_san_juan,virgin_passage,sea
bay_san_juan,western_atlantic_high_sea10,sea
bay_san_juan,western_atlantic_high_sea9,sea
bay_santander,bilbao,port
bay_santander,coast_asturias,sea
bay_santander,laredo,port
bay_santander,north_eastern_atlantic37,sea
bay_santander,north_eastern_atlantic38,sea
bay_santander,san_vicente_barquera,port
bay_santander,santander,port
bay_santander,valmaseda,port
bay_santo_domingo,cayacoa,port
bay_santo_domingo,hicayagua,port
bay_santo_domingo,ocoa_bay,sea
bay_santo_domingo,saona_island,sea
bay_santo_domingo,yuma,port
bay_setubal,berlengas_islands,sea
bay_setubal,cape_sines,sea
bay_setubal,lisbon,port
bay_setubal,north_eastern_atlantic44,sea
bay_setubal,north_eastern_atlantic45,sea
bay_setubal,setubal,port
bay_setubal,sines,port
bay_setubal,torres_vedras,port
bay_tolanaro,fort_dauphin,port
bay_tolanaro,manarivo_bay,sea
bay_tolanaro,sainte_marie_cape,sea
bay_tolanaro,talaky,port
bayali,bustard_bay,port
bayali,darumbal,river
bayali,gangulu,land
bayali,gureng_gureng,river
bayali,kanolu,river
bayali,orambul,river
bayali,yeppoon_coast,port
bayambang,binalatongan,land
bayambang,botolan,land
bayambang,hubek,land
bayambang,magalo,land
bayambang,pantabangan,land
bayamo,bayaquitiri,river
bayamo,cueiba,river
bayamo,guacanayabo_gulf,port
bayamo,jiguani,land
bayamo,macaca,river
bayamo,maguanes,land
bayan,choyrin_datsan,land
bayan,manzushir,land
bayan,rahsaan_khad,land
bayan,takhilyn,land
bayan,urga,land
bayan_har,bayan_har_mountains2,river
bayan_har,khana,land
bayan_har,kunlun,land
bayan_har,kunlun5,land
bayan_har,madoi,river
bayan_har,ngoring_lake,lake
bayan_har,qumarleb,land
bayan_har,sharu,land
bayan_har,zhaling_lake,lake
bayan_har_mountains1,dzagyal,river
bayan_har_mountains1,khana,river
bayan_har_mountains1,madoi,land
bayan_har_mountains2,drichu,land
bayan_har_mountains2,qumarleb,land
bayan_har_mountains2,sharu,land
bayan_susu,chalin,river
bayan_susu,hulan,river
bayan_susu,hvlan,land
bayan_susu,shangjing,river
bayan_tumen,bayantsagaan,land
bayan_tumen,dalai_nuur,river
bayan_tumen,menen,land
bayan_tumen,tsagaan,land
bayan_tumen,yakhi,land
bayan_ula,buir_nuur,land
bayan_ula,dalai_nuur,land
bayan_ula,hulun,land
bayan_ula,khalkh,land
bayan_ula,yimin,river
bayana,bharatpur,land
bayana,dausa,land
bayana,dholpur,land
bayana,karauli,land
bayanaul,bozok_astana,land
bayanaul,shybyndy,land
bayanaul,siletiteniz,land
bayanaul,tuzdysor,land
bayanaul,zhalauly,land
bayanday,irkutsk,river
bayanday,kachug,land
bayanday,onguren,river
bayanday,osinsky,land
bayangol,chitkan,river
bayangol,karaftit,land
bayangol,kichera,river
bayangol,olyokma_upplands2,river
bayangol,taksimo,river
bayankhot,bayannurhong,land
bayankhot,dingyuan_lingzhou,land
bayankhot,lingwu,land
bayankhot,mingsha,land
bayankhot,ningxia,land
bayankhot,tengger_desert,land
bayankhot,ulan_buh_desert,land
bayankhot,yingli,land
bayannur,galbyn_gobi,land
bayannur,ulan_buh_desert,river
bayannur,urad,land
bayannur,uraqai,river
bayannur,xinhure,land
bayannurhong,tengger_desert,land
bayannurhong,ulan_buh_desert,land
bayantsagaan,matad,land
bayantsagaan,menen,land
bayantsagaan,sharga_uul,land
bayantsagaan,uguumur,land
bayaquitiri,coast_sierra_maestra,port
bayaquitiri,guantanamo,river
bayaquitiri,guantanamo_bay,port
bayaquitiri,jiguani,land
bayaquitiri,macaca,river
bayaquitiri,mayari,land
bayaquitiri,yateras,land
bayat,cankiri,river
bayat,corum,river
bayat,iskilip,river
bayat,sungurlu,river
bayat,tosya,river
bayazit,igdir,land
bayazit,karakilise,land
bayazit,karasu_aras_mountains,land
bayazit,khor_virap,land
bayazit,maku,land
bayazit,siah_cheshmeh,land
bayburt,east_pontus_mountains_2,land
bayburt,east_pontus_mountains_3,land
bayburt,erzurum,land
bayburt,gumushane,land
bayburt,ispir,river
bayburt,kelkit,land
bayburt,mescit_mountains,river
bayburt,otlukbeli_mountains,river
bayburt,surmene,land
baydibek_ata,karabulak,land
baydibek_ata,otrar,land
baydibek_ata,saudakent,land
baydibek_ata,shilik,land
baydibek_ata,tamdy,land
bayei,etosha_salt_pan,river
bayei,haiom,land
bayei,omuthiya,river
bayei,otjiwarongo_mountains,land
bayei,xun,land
bayeux,caen,river
bayeux,coutances,river
bayeux,seine_bay,port
bayeux,st_sauveur,river
bayeux,vire,land
bayhan,harib,land
bayhan,markha,land
bayhan,nisab,land
bayhan,rub_al_khali1,land
baykalovo,chimgi_tura,river
baykalovo,irbit,land
baykalovo,tabory,land
baykalovo,talitsa,land
baykalovo,tavdinsky_sloboda,river
baykalovo,tugulym,river
baykalovo,turinsk,river
baykit,poligus,river
baykit,siberian_forests_5,river
baykit,turama,river
baynoa,guahaba,river
baynoa,gulf_gonave,port
baynoa,tortuga_island,port
baynoa,windward_passage,port
bayo_mountain,cochinoca,land
bayo_mountain,omaguacas,land
bayo_mountain,salta,land
